x;y;z;
 0.697; 0.974;-0.139;
 0.697; 0.974;-0.139;
-0.358; 0.987;-0.358;
 0.436; 0.990;-0.039;
 0.436; 0.990;-0.039;
 0.158; 0.983;-0.554;
 0.651; 0.949;-0.759;
 0.651; 0.949;-0.759;
 0.421; 0.971; 0.631;
 0.421; 0.971; 0.631;
-0.738; 0.908; 0.126;
-0.123; 0.924;-0.486;
-0.123; 0.924;-0.486;
-0.134; 0.889;-0.475;
-0.140; 0.999; 0.000;
-0.140; 0.999; 0.000;
-0.107; 0.976;-0.681;
-0.628; 0.980; 0.039;
-0.628; 0.980; 0.039;
-0.915; 0.915; 0.915;
-0.652; 0.897;-0.268;
-0.652; 0.897;-0.268;
 0.378; 0.977;-0.550;
-0.117; 0.965; 0.820;
-0.117; 0.965; 0.820;
-0.737; 0.972; 0.038;
-0.737; 0.972; 0.038;
-0.025; 0.936;-0.473;
-0.036; 0.977;-0.662;
-0.036; 0.977;-0.662;
 0.331; 0.948; 0.953;
 0.331; 0.948; 0.953;
-0.082; 0.863;-0.242;
-0.536; 0.944; 0.907;
-0.536; 0.944; 0.907;
 0.000; 0.918;-0.275;
-0.622; 0.829; 0.730;
-0.622; 0.829; 0.730;
-0.139; 0.819;-0.886;
-0.106; 0.912; 0.314;
-0.106; 0.912; 0.314;
-0.305; 0.992; 0.228;
-0.487; 0.895; 0.358;
-0.487; 0.895; 0.358;
 0.335; 0.852; 0.679;
-0.152; 0.674;-0.525;
-0.152; 0.674;-0.525;
-0.468; 0.367; 0.175;
 0.839; 0.953;-0.479;
 0.839; 0.953;-0.479;
-0.216; 0.979;-0.607;
-0.090; 0.674; 0.282;
-0.090; 0.674; 0.282;
 0.900; 0.940;-0.611;
-0.776; 0.959; 0.459;
-0.776; 0.959; 0.459;
 0.067; 0.988;-0.470;
 0.096; 0.999; 0.096;
 0.096; 0.999; 0.096;
 0.810; 0.184; 0.871;
 0.810; 0.184; 0.871;
 0.045; 0.440;-0.493;
 0.611; 0.863;-0.527;
 0.611; 0.863;-0.527;
 0.461; 0.986; 0.251;
 0.866; 0.823; 0.130;
 0.866; 0.823; 0.130;
 0.342; 0.905; 0.287;
 0.342; 0.905; 0.287;
 0.574; 0.121; 0.189;
 0.000; 0.884; 0.517;
 0.000; 0.884; 0.517;
 0.406; 0.975;-0.562;
 0.406; 0.975;-0.562;
 0.220; 0.969;-0.318;
-0.792; 0.767; 0.174;
-0.792; 0.767; 0.174;
-0.532; 0.985;-0.112;
-0.108; 0.928; 0.191;
-0.108; 0.928; 0.191;
 0.917; 0.813;-0.136;
 0.917; 0.813;-0.136;
 0.901; 0.105; 0.204;
 0.263; 0.509;-0.823;
 0.263; 0.509;-0.823;
 0.873; 0.941; 0.638;
 0.330; 0.708;-0.558;
 0.330; 0.708;-0.558;
 0.968; 0.144; 0.793;
 0.170; 0.036;-0.978;
 0.170; 0.036;-0.978;
 0.620; 0.594; 0.040;
 0.790; 0.764; 0.204;
 0.790; 0.764; 0.204;
 0.028; 0.952; 0.902;
 0.028; 0.952; 0.902;
 0.428; 0.978; 0.489;
-0.480; 0.677;-0.437;
-0.474; 0.141; 0.362;
-0.474; 0.141; 0.362;
