x;y;z;
-0.643;-0.549; 0.349;
-0.643;-0.549; 0.349;
-0.535;-0.572; 0.395;
-0.623;-0.559; 0.318;
-0.623;-0.559; 0.318;
-0.639;-0.576; 0.148;
-0.442;-0.637; 0.077;
-0.442;-0.637; 0.077;
-0.568;-0.624; 0.877;
-0.825;-0.568; 0.681;
-0.825;-0.568; 0.681;
-0.542;-0.647; 0.676;
-0.782;-0.585; 0.613;
-0.684;-0.615; 0.575;
-0.684;-0.615; 0.575;
-0.556;-0.652; 0.531;
-0.556;-0.652; 0.531;
-0.862;-0.579; 0.197;
-0.772;-0.603; 0.294;
-0.772;-0.603; 0.294;
-0.648;-0.642; 0.111;
-0.917;-0.564;-0.013;
-0.917;-0.564;-0.013;
-0.559;-0.666;-0.078;
-0.726;-0.619;-0.197;
-0.768;-0.599;-0.427;
-0.768;-0.599;-0.427;
-0.407;-0.690;-0.546;
-0.576;-0.651;-0.449;
-0.576;-0.651;-0.449;
-0.504;-0.660;-0.629;
-0.428;-0.666;-0.809;
-0.428;-0.666;-0.809;
-0.431;-0.658;-0.894;
-0.268;-0.664;-0.207;
-0.268;-0.664;-0.207;
-0.115;-0.677;-0.370;
-0.115;-0.677;-0.370;
-0.119;-0.675;-0.373;
-0.864;-0.700;-0.555;
-0.864;-0.700;-0.555;
-0.054;-0.668;-0.516;
-0.795;-0.651;-0.903;
-0.795;-0.651;-0.903;
-0.351;-0.710;-0.971;
-0.450;-0.671;-0.089;
-0.450;-0.671;-0.089;
-0.319;-0.640;-0.306;
-0.832;-0.684;-0.347;
-0.798;-0.665;-0.437;
-0.798;-0.665;-0.437;
-0.558;-0.641;-0.594;
-0.167;-0.674;-0.524;
-0.167;-0.674;-0.524;
-0.123;-0.635;-0.670;
 0.354;-0.567;-0.887;
 0.354;-0.567;-0.887;
 0.446;-0.632;-0.648;
 0.734;-0.582;-0.763;
 0.734;-0.582;-0.763;
 0.069;-0.560;-0.730;
 0.210;-0.582;-0.591;
 0.210;-0.582;-0.591;
 0.496;-0.534;-0.618;
 0.823;-0.530;-0.418;
 0.116;-0.485;-0.355;
 0.116;-0.485;-0.355;
 0.628;-0.146;-0.072;
 0.679;-0.227;-0.770;
 0.679;-0.227;-0.770;
 0.582;-0.276;-0.697;
 0.582;-0.276;-0.697;
 0.570;-0.283;-0.684;
 0.290;-0.332;-0.767;
 0.290;-0.332;-0.767;
 0.007;-0.400;-0.755;
 0.910;-0.418;-0.763;
 0.910;-0.418;-0.763;
 0.556;-0.395;-0.048;
 0.556;-0.395;-0.048;
 0.082;-0.527;-0.836;
 0.935;-0.538;-0.852;
 0.935;-0.538;-0.852;
 0.461;-0.542;-0.953;
 0.024;-0.571;-0.897;
 0.024;-0.571;-0.897;
-0.199;-0.557;-0.936;
-0.616;-0.547;-0.908;
-0.616;-0.547;-0.908;
-0.093;-0.585;-0.629;
-0.422;-0.596;-0.426;
-0.422;-0.596;-0.426;
-0.689;-0.594;-0.257;
-0.018;-0.631;-0.777;
-0.018;-0.631;-0.777;
-0.309;-0.610;-0.519;
-0.541;-0.619;-0.004;
-0.541;-0.619;-0.004;
-0.442;-0.680;-0.564;
-0.673;-0.626;-0.423;
-0.673;-0.626;-0.423;
-0.667;-0.634; 0.248;
-0.615;-0.631; 0.634;
-0.522;-0.633; 0.914;
-0.522;-0.633; 0.914;
-0.260;-0.667; 0.191;
-0.934;-0.713; 0.378;
-0.934;-0.713; 0.378;
-0.943;-0.718; 0.328;
-0.174;-0.605; 0.733;
-0.531;-0.526; 0.682;
-0.531;-0.526; 0.682;
-0.389;-0.599; 0.460;
-0.389;-0.599; 0.460;
-0.560;-0.567; 0.381;
-0.688;-0.561; 0.166;
-0.688;-0.561; 0.166;
-0.598;-0.569; 0.296;
-0.768;-0.544; 0.110;
-0.768;-0.544; 0.110;
-0.674;-0.583; 0.003;
-0.471;-0.651; 0.859;
-0.471;-0.651; 0.859;
-0.791;-0.570; 0.786;
-0.628;-0.629; 0.599;
-0.628;-0.629; 0.599;
-0.781;-0.592; 0.492;
-0.925;-0.557; 0.296;
-0.925;-0.557; 0.296;
-0.708;-0.622; 0.248;
-0.736;-0.618;-0.055;
-0.736;-0.618;-0.055;
-0.729;-0.620; 0.052;
-0.662;-0.638;-0.119;
-0.662;-0.638;-0.119;
-0.749;-0.610;-0.292;
-0.626;-0.638;-0.444;
-0.626;-0.638;-0.444;
-0.627;-0.638;-0.433;
-0.627;-0.638;-0.433;
-0.625;-0.624;-0.686;
-0.382;-0.685;-0.720;
-0.382;-0.685;-0.720;
-0.421;-0.662;-0.882;
-0.322;-0.652;-0.199;
-0.141;-0.691;-0.218;
-0.141;-0.691;-0.218;
-0.242;-0.651;-0.348;
-0.242;-0.651;-0.348;
-0.980;-0.659;-0.667;
-0.846;-0.712;-0.501;
-0.846;-0.712;-0.501;
-0.876;-0.669;-0.724;
-0.465;-0.710;-0.887;
-0.465;-0.710;-0.887;
-0.375;-0.701;-0.998;
-0.468;-0.626;-0.276;
-0.468;-0.626;-0.276;
-0.884;-0.686;-0.323;
-0.853;-0.683;-0.346;
-0.853;-0.683;-0.346;
-0.731;-0.599;-0.703;
-0.731;-0.599;-0.703;
-0.195;-0.660;-0.574;
-0.103;-0.639;-0.658;
-0.103;-0.639;-0.658;
 0.090;-0.578;-0.871;
 0.348;-0.600;-0.775;
 0.348;-0.600;-0.775;
 0.555;-0.592;-0.772;
 0.844;-0.565;-0.792;
 0.844;-0.565;-0.792;
 0.340;-0.539;-0.684;
 0.544;-0.405;-0.026;
 0.544;-0.405;-0.026;
 0.763;-0.222;-0.439;
 0.861;-0.324;-0.097;
 0.861;-0.324;-0.097;
 0.774;-0.284;-0.264;
 0.643;-0.415;-0.939;
 0.643;-0.415;-0.939;
 0.529;-0.389;-0.082;
 0.236;-0.436;-0.069;
 0.236;-0.436;-0.069;
 0.950;-0.440;-0.157;
 0.397;-0.541;-0.966;
 0.397;-0.541;-0.966;
 0.265;-0.547;-0.961;
-0.248;-0.554;-0.939;
-0.248;-0.554;-0.939;
-0.687;-0.570;-0.818;
-0.820;-0.622;-0.593;
-0.820;-0.622;-0.593;
-0.196;-0.651;-0.325;
-0.638;-0.661;-0.992;
-0.638;-0.661;-0.992;
-0.828;-0.713;-0.515;
-0.363;-0.609;-0.438;
-0.363;-0.609;-0.438;
-0.371;-0.656;-0.061;
-0.609;-0.635;-0.589;
-0.609;-0.635;-0.589;
-0.711;-0.614;-0.458;
-0.604;-0.640; 0.520;
-0.604;-0.640; 0.520;
-0.749;-0.587; 0.717;
-0.703;-0.587; 0.880;
-0.703;-0.587; 0.880;
-0.445;-0.604; 0.329;
-0.269;-0.630; 0.451;
-0.269;-0.630; 0.451;
-0.878;-0.611; 0.022;
-0.913;-0.566; 0.195;
-0.913;-0.566; 0.195;
-0.998;-0.606; 0.927;
-0.998;-0.606; 0.927;
-0.971;-0.533; 0.286;
-0.098;-0.577; 0.966;
-0.260;-0.549; 0.924;
-0.260;-0.549; 0.924;
-0.136;-0.579; 0.913;
-0.315;-0.561; 0.794;
-0.315;-0.561; 0.794;
-0.333;-0.530; 0.929;
-0.243;-0.566; 0.856;
-0.243;-0.566; 0.856;
-0.531;-0.541; 0.596;
-0.414;-0.569; 0.612;
-0.414;-0.569; 0.612;
-0.460;-0.585; 0.438;
-0.670;-0.541; 0.354;
-0.670;-0.541; 0.354;
-0.529;-0.576; 0.375;
-0.623;-0.573; 0.213;
-0.623;-0.573; 0.213;
-0.664;-0.591; 0.955;
-0.664;-0.591; 0.955;
-0.698;-0.575; 0.017;
-0.689;-0.596; 0.820;
-0.690;-0.602; 0.737;
-0.701;-0.594; 0.803;
-0.593;-0.632; 0.700;
-0.814;-0.586; 0.415;
-0.814;-0.586; 0.415;
-0.693;-0.610; 0.619;
-0.655;-0.634; 0.347;
-0.655;-0.634; 0.347;
-0.885;-0.574; 0.094;
-0.771;-0.607; 0.121;
-0.771;-0.607; 0.121;
-0.585;-0.659; 0.028;
-0.753;-0.613;-0.079;
-0.753;-0.613;-0.079;
-0.508;-0.679;-0.123;
-0.557;-0.659;-0.387;
-0.557;-0.659;-0.387;
-0.634;-0.630;-0.563;
-0.438;-0.686;-0.471;
-0.689;-0.605;-0.702;
-0.689;-0.605;-0.702;
-0.508;-0.651;-0.747;
-0.254;-0.708;-0.809;
-0.254;-0.708;-0.809;
-0.438;-0.645;-0.010;
-0.129;-0.698;-0.183;
-0.129;-0.698;-0.183;
-0.069;-0.707;-0.220;
-0.197;-0.646;-0.452;
-0.197;-0.646;-0.452;
-0.933;-0.690;-0.535;
-0.030;-0.650;-0.654;
-0.030;-0.650;-0.654;
-0.746;-0.656;-0.925;
-0.596;-0.694;-0.862;
-0.596;-0.694;-0.862;
-0.488;-0.626;-0.262;
-0.214;-0.683;-0.181;
-0.214;-0.683;-0.181;
-0.043;-0.700;-0.192;
-0.044;-0.622;-0.511;
-0.044;-0.622;-0.511;
-0.645;-0.644;-0.561;
-0.433;-0.703;-0.379;
-0.433;-0.703;-0.379;
-0.338;-0.605;-0.760;
-0.338;-0.605;-0.760;
 0.024;-0.614;-0.748;
 0.214;-0.634;-0.670;
 0.214;-0.634;-0.670;
 0.682;-0.565;-0.833;
 0.815;-0.562;-0.809;
 0.815;-0.562;-0.809;
 0.029;-0.604;-0.588;
 0.586;-0.507;-0.663;
 0.586;-0.507;-0.663;
 0.809;-0.525;-0.449;
 0.809;-0.525;-0.449;
 0.060;-0.457;-0.510;
 0.244;-0.504;-0.151;
 0.244;-0.504;-0.151;
 0.497;-0.455;-0.086;
 0.928;-0.183;-0.663;
 0.928;-0.183;-0.663;
 0.958;-0.178;-0.645;
 0.989;-0.232;-0.411;
 0.940;-0.289;-0.248;
 0.940;-0.289;-0.248;
 0.758;-0.354;-0.211;
 0.721;-0.366;-0.206;
 0.721;-0.366;-0.206;
 0.652;-0.361;-0.308;
 0.148;-0.429;-0.542;
 0.148;-0.429;-0.542;
